Time,Open,High,Low,Last,,
6/10/21 10:00,424.25,424.63,423.61,423.75,,
6/10/21 9:30,422.96,424.52,422.94,424.25,,
6/9/21 15:30,421.83,422.06,421.41,421.67,,
6/9/21 15:00,422.43,422.44,421.81,421.83,,
6/9/21 14:30,422.81,422.88,422.36,422.43,,
6/9/21 14:00,422.65,422.85,422.52,422.81,,
6/9/21 13:30,422.84,422.90,422.52,422.64,,
6/9/21 13:00,422.75,422.97,422.65,422.85,,
6/9/21 12:30,422.66,422.79,422.63,422.74,,
6/9/21 12:00,422.47,422.68,422.39,422.65,,
6/9/21 11:30,422.94,422.96,422.21,422.48,,
6/9/21 11:00,422.83,423.12,422.79,422.93,,
6/9/21 10:30,422.90,423.07,422.70,422.84,,
6/9/21 10:00,422.84,422.99,422.32,422.90,,
6/9/21 9:30,423.18,423.26,422.43,422.83,,
6/8/21 15:30,422.71,422.79,422.24,422.30,,
6/8/21 15:00,422.75,422.94,422.57,422.71,,
6/8/21 14:30,422.58,422.79,422.37,422.75,,
6/8/21 14:00,422.24,422.60,422.14,422.59,,
6/8/21 13:30,422.23,422.66,422.17,422.23,,
6/8/21 13:00,422.57,422.63,422.23,422.24,,
6/8/21 12:30,422.45,422.65,422.34,422.57,,
6/8/21 12:00,422.02,422.49,421.92,422.46,,
6/8/21 11:30,420.94,422.13,420.89,422.03,,
6/8/21 11:00,421.89,422.22,420.32,420.94,,
6/8/21 10:30,421.86,422.24,421.62,421.88,,
6/8/21 10:00,421.75,422.26,421.54,421.88,,
6/8/21 9:30,423.11,423.21,421.64,421.77,,
6/7/21 15:30,422.21,422.40,421.81,422.26,,
6/7/21 15:00,421.82,422.24,421.80,422.21,,
6/7/21 14:30,421.50,421.97,421.44,421.83,,
6/7/21 14:00,421.24,421.55,421.20,421.50,,
6/7/21 13:30,421.51,421.65,421.19,421.24,,
6/7/21 13:00,421.68,421.80,421.39,421.51,,
6/7/21 12:30,421.54,421.80,421.48,421.67,,
6/7/21 12:00,421.52,421.82,421.43,421.55,,
6/7/21 11:30,421.46,421.54,421.24,421.52,,
6/7/21 11:00,421.73,421.91,421.44,421.46,,
6/7/21 10:30,421.61,421.74,421.29,421.73,,
6/7/21 10:00,422.20,422.20,421.47,421.62,,
6/7/21 9:30,422.59,422.78,421.93,422.19,,
6/4/21 15:30,422.47,422.92,422.36,422.44,,
6/4/21 15:00,422.49,422.54,422.34,422.48,,
6/4/21 14:30,422.42,422.65,422.40,422.50,,
6/4/21 14:00,422.16,422.42,422.15,422.42,,
6/4/21 13:30,421.82,422.21,421.82,422.16,,
6/4/21 13:00,421.88,422.02,421.77,421.82,,
6/4/21 12:30,421.62,421.90,421.62,421.88,,
6/4/21 12:00,421.59,421.74,421.47,421.61,,
6/4/21 11:30,421.87,421.91,421.46,421.59,,
6/4/21 11:00,421.72,422.02,421.68,421.87,,
6/4/21 10:30,421.37,421.87,421.32,421.72,,
6/4/21 10:00,421.25,421.65,421.23,421.37,,
6/4/21 9:30,420.75,421.50,420.68,421.25,,
6/3/21 15:30,419.18,419.45,418.73,418.83,,
6/3/21 15:00,418.76,419.18,418.74,419.17,,
6/3/21 14:30,419.04,419.29,418.74,418.77,,
6/3/21 14:00,419.53,419.61,419.01,419.05,,
6/3/21 13:30,419.80,419.90,419.37,419.53,,
6/3/21 13:00,419.57,419.86,418.88,419.81,,
6/3/21 12:30,419.33,419.75,419.13,419.56,,
6/3/21 12:00,419.43,419.65,418.93,419.33,,
6/3/21 11:30,419.67,419.78,419.07,419.43,,
6/3/21 11:00,419.33,419.99,419.16,419.67,,
6/3/21 10:30,417.63,419.35,417.26,419.33,,
6/3/21 10:00,417.16,418.17,417.03,417.64,,
6/3/21 9:30,417.85,418.24,416.28,417.17,,
Downloaded from Barchart.com as of 07-03-2021 04:16pm CDT,,,,,,
