Date,Time,Open,High,Low,Close
2/25,15:20,382.64,383.14,381.99,382.15
2/25,15:15,382.96,383.18,382.29,382.65
2/25,15:10,382.8589,383.6701,382.8,382.99
2/25,15:05,383.84,384.1,382.64,382.88
2/25,15:00,384.13,384.66,383.82,383.83
2/25,14:55,384.17,384.58,384.055,384.135
2/25,14:50,384.67,385.08,384.09,384.165
2/25,14:45,384.935,385.24,384.47,384.66
2/25,14:40,384.92,385.35,384.83,384.93
2/25,14:35,385.54,385.6484,384.83,384.93
2/25,14:30,386.46,386.46,385.51,385.54
2/25,14:25,386.575,386.64,386.21,386.465
2/25,14:20,386.19,386.67,385.96,386.58
2/25,14:15,385.43,386.23,385.43,386.215
2/25,14:10,385.58,385.91,385.36,385.42
2/25,14:05,385.055,385.62,384.91,385.58
2/25,14:00,384.115,385.12,383.74,385.06
2/25,13:55,383.73,384.23,383.38,384.13
2/25,13:50,384.59,384.62,383.5,383.725
2/25,13:45,384.8,384.875,384.13,384.58
2/25,13:40,384.57,385,384.04,384.81
2/25,13:35,383.99,384.6,383.49,384.57
2/25,13:30,384.54,384.72,383.75,384
2/25,13:25,384.7313,384.86,383.95,384.55
2/25,13:20,384.35,384.99,384.16,384.72
2/25,13:15,384.06,384.39,383.32,384.345
2/25,13:10,383.48,384.08,382.98,384.06
2/25,13:05,382.83,383.57,382.34,383.5
2/25,13:00,382.91,383.67,381.76,382.82
2/25,12:55,383.475,383.96,382.68,382.92
2/25,12:50,384.78,384.86,383.43,383.48
2/25,12:45,385.04,385.58,384.41,384.82
2/25,12:40,385.435,385.52,384.74,385.04
2/25,12:35,384.86,385.47,384.527,385.44
2/25,12:30,385.39,385.45,384.45,384.86
2/25,12:25,386.33,386.35,385.26,385.41
2/25,12:20,386.1,386.56,385.65,386.325
2/25,12:15,386.68,386.8899,386.07,386.08
2/25,12:10,386.3613,386.86,385.46,386.69
2/25,12:05,386.285,386.55,385.88,386.35
2/25,12:00,386.33,386.47,385.665,386.31
2/25,11:55,386.905,387.05,386.07,386.33
2/25,11:50,386.565,387.13,386.07,386.905
2/25,11:45,387.319,387.319,386.51,386.565
2/25,11:40,387.845,387.91,387.11,387.31
2/25,11:35,388.23,388.32,387.45,387.8489
2/25,11:30,388.5,388.56,388.12,388.23
2/25,11:25,388.87,388.94,388.24,388.495
2/25,11:20,389.355,389.66,388.52,388.8619
2/25,11:15,389.13,389.49,388.78,389.36
2/25,11:10,389.42,389.51,388.9967,389.12
2/25,11:05,389.11,389.46,388.55,389.41
2/25,11:00,388.98,389.4,388.675,389.135
2/25,10:55,388.41,389.04,388.31,389
2/25,10:50,388.06,388.46,387.565,388.415
2/25,10:45,388.75,388.76,387.92,388.055
2/25,10:40,388.51,388.95,388.21,388.75
2/25,10:35,389.05,389.07,388.21,388.505
2/25,10:30,389.72,389.72,388.86,389.05
2/25,10:25,390.28,390.32,389.37,389.72
2/25,10:20,389.94,390.71,389.94,390.275
2/25,10:15,389.41,389.99,389.28,389.9499
2/25,10:10,389.63,390.06,389.22,389.42
2/25,10:05,390.17,390.2789,389.24,389.63
2/25,10:00,390.97,391.01,390.15,390.16
2/25,9:55,391.05,391.22,390.84,390.96
2/25,9:50,391.07,391.49,390.85,391.05
2/25,9:45,391.42,391.56,391.02,391.0699
2/25,9:40,391.63,391.72,391.38,391.405
2/25,9:35,391.47,391.88,391.44,391.635
2/25,9:30,390.41,391.49,390.4,391.48
2/24,15:55,392.06,392.22,391.71,391.84
2/24,15:50,391.86,392.23,391.76,392.055
2/24,15:45,391.63,391.97,391.46,391.86
2/24,15:40,392.06,392.09,391.43,391.635
2/24,15:35,392.06,392.17,391.895,392.07
2/24,15:30,391.86,392.08,391.78,392.04
2/24,15:25,391.55,391.9,391.41,391.866
2/24,15:20,391.21,391.58,391.17,391.55
2/24,15:15,391.51,391.64,391.21,391.21
2/24,15:10,391.36,391.51,391.27,391.5
2/24,15:05,391.2,391.47,391.12,391.36
2/24,15:00,391.17,391.44,391.04,391.2
2/24,14:55,391.155,391.285,391.06,391.15
2/24,14:50,391.02,391.31,391.001,391.155
2/24,14:45,391.51,391.56,390.99,391.027
2/24,14:40,391.48,391.66,391.38,391.511
2/24,14:35,391.5,391.59,391.37,391.49
2/24,14:30,391.539,391.8299,391.22,391.5
2/24,14:25,391.405,391.62,391.38,391.53
2/24,14:20,391.51,391.64,391.18,391.4
2/24,14:15,391.24,391.55,391.21,391.51
2/24,14:10,391.55,391.706,391.11,391.21
2/24,14:05,391.73,391.73,391.33,391.55
2/24,14:00,392,392.16,391.69,391.73
2/24,13:55,391.75,392,391.74,392
2/24,13:50,391.795,391.99,391.67,391.77
2/24,13:45,391.99,392,391.74,391.78
2/24,13:40,391.8957,392.1101,391.69,392
2/24,13:35,391.87,392.05,391.82,391.8906
2/24,13:30,391.405,391.91,391.33,391.87
2/24,13:25,391.141,391.45,391.141,391.39
2/24,13:20,390.965,391.17,390.79,391.15
2/24,13:15,391.025,391.0511,390.78,390.97
2/24,13:10,390.5315,391.03,390.51,391.025
2/24,13:05,390.22,390.59,390.175,390.535
2/24,13:00,390.49,390.55,390.17,390.21
2/24,12:55,390.6081,390.69,390.46,390.485
2/24,12:50,390.73,390.9299,390.515,390.61
2/24,12:45,390.87,390.96,390.58,390.7357
2/24,12:40,391.1588,391.179,390.805,390.871
2/24,12:35,391.04,391.21,390.98,391.1558
2/24,12:30,390.89,391.08,390.77,391.035
2/24,12:25,390.6,390.89,390.48,390.89
2/24,12:20,390.55,390.71,390.425,390.635
2/24,12:15,390.47,390.59,390.38,390.569
2/24,12:10,390.29,390.52,390.17,390.46
2/24,12:05,390.383,390.41,390.18,390.28
2/24,12:00,389.92,390.47,389.92,390.3802
2/24,11:55,389.7719,390.07,389.65,389.9219
2/24,11:50,389.78,389.99,389.68,389.78
2/24,11:45,389.4,389.88,389.33,389.785
2/24,11:40,389.92,389.95,389.32,389.4081
2/24,11:35,389.74,389.94,389.615,389.93
2/24,11:30,389.39,389.77,389.34,389.73
2/24,11:25,389.54,389.95,389.34,389.39
2/24,11:20,389.15,389.58,389.11,389.56
2/24,11:15,389.04,389.2,388.97,389.13
2/24,11:10,388.69,389.05,388.57,389.02
2/24,11:05,388.61,388.85,388.43,388.6999
2/24,11:00,388.35,388.67,388.26,388.61
2/24,10:55,387.77,388.625,387.74,388.34
2/24,10:50,387.685,387.8,386.16,387.75
2/24,10:45,387.7899,387.92,387.47,387.7
2/24,10:40,387.53,387.87,387.18,387.795
2/24,10:35,387.75,387.79,387.15,387.53
2/24,10:30,387.44,387.97,387,387.74
2/24,10:25,387.54,387.68,387.22,387.43
2/24,10:20,386.72,387.62,386.441,387.56
2/24,10:15,385.92,386.82,385.82,386.75
2/24,10:10,385.55,386.03,385.2801,385.93
2/24,10:05,385.875,386.17,385.27,385.5699
2/24,10:00,386.38,386.95,385.7,385.87
2/24,9:55,386.13,387.08,385.92,386.39
2/24,9:50,386.88,387.06,385.88,386.1264
2/24,9:45,386.16,387.15,385.95,386.871
2/24,9:40,386.54,386.76,385.83,386.15
2/24,9:35,386.85,387.01,385.4081,386.5301
2/24,9:30,386.33,387.1734,386.09,386.85
2/23,15:55,387.88,387.91,387.28,387.52
2/23,15:50,388.27,388.33,387.65,387.89
2/23,15:45,388.23,388.535,388.18,388.27
2/23,15:40,388.55,388.715,388.19,388.23
2/23,15:35,388.49,388.9,388.415,388.56
2/23,15:30,388.8613,388.945,388.4,388.5
2/23,15:25,388.41,388.93,388.25,388.85
2/23,15:20,388.17,388.55,388.13,388.4
2/23,15:15,387.94,388.18,387.86,388.1744
2/23,15:10,387.435,387.95,387.17,387.9301
2/23,15:05,386.84,387.49,386.8,387.4319
2/23,15:00,386.73,386.88,386.59,386.85
2/23,14:55,386.331,386.74,386.13,386.7087
2/23,14:50,385.84,386.6684,385.78,386.34
2/23,14:45,385.65,385.99,385.61,385.85
2/23,14:40,385.07,385.785,385.065,385.65
2/23,14:35,384.84,385.29,384.735,385.08
2/23,14:30,385.86,386.0001,384.84,384.84
2/23,14:25,385.91,386.05,385.735,385.865
2/23,14:20,385.7112,385.96,385.54,385.93
2/23,14:15,385.5,385.76,385.37,385.69
2/23,14:10,385.4937,385.689,385.34,385.4801
2/23,14:05,385.18,385.75,385.18,385.505
2/23,14:00,385.14,385.51,384.915,385.18
2/23,13:55,384.66,385.4699,384.58,385.15
2/23,13:50,384.665,384.96,384.415,384.65
2/23,13:45,384.775,385.07,384.53,384.66
2/23,13:40,385.2281,385.29,384.7,384.77
2/23,13:35,385.19,385.27,384.94,385.21
2/23,13:30,385.0989,385.25,384.88,385.2
2/23,13:25,385.005,385.2,384.875,385.08
2/23,13:20,384.46,385.03,384.3122,385.01
2/23,13:15,384.165,384.63,384.09,384.445
2/23,13:10,383.76,384.35,383.625,384.17
2/23,13:05,383.59,383.9,383.51,383.7488
2/23,13:00,382.78,383.87,382.5,383.585
2/23,12:55,383.79,383.86,382.56,382.7799
2/23,12:50,383.16,383.84,382.75,383.77
2/23,12:45,383.1,383.41,382.97,383.17
2/23,12:40,383.31,383.42,382.9782,383.1
2/23,12:35,384.41,384.41,383.19,383.32
2/23,12:30,384.18,384.62,384.09,384.4187
2/23,12:25,383.85,384.34,383.83,384.2
2/23,12:20,383.98,384.03,383.44,383.86
2/23,12:15,383.22,384.04,382.835,383.985
2/23,12:10,383.2125,383.68,383.08,383.23
2/23,12:05,383.44,383.68,383.07,383.23
2/23,12:00,383.98,383.98,383.3,383.45
