Time,Open,High,Low,Last
3/23/21 10:20,392.95,392.99,392.64,392.89
3/23/21 10:25,392.90,392.97,392.67,392.68
3/23/21 10:30,392.68,392.76,391.88,391.92
3/23/21 10:35,391.93,391.98,391.45,391.61
3/23/21 10:40,391.62,391.64,391.24,391.52
3/23/21 10:45,391.51,391.78,391.48,391.69
3/23/21 10:50,391.69,392.06,391.57,392.06
3/23/21 10:55,392.06,392.35,392.06,392.35
3/23/21 11:00,392.35,392.39,392.18,392.20
3/23/21 11:05,392.20,392.90,392.18,392.89
3/23/21 11:10,392.88,393.18,392.78,393.08
3/23/21 11:15,393.07,393.42,392.93,393.32
3/23/21 11:20,393.31,393.34,393.02,393.30
3/23/21 11:25,393.31,393.40,393.21,393.32
3/23/21 11:30,393.32,393.46,393.01,393.09
3/23/21 11:35,393.10,393.20,392.66,392.72
3/23/21 11:40,392.74,392.79,392.49,392.65
3/23/21 11:45,392.64,392.88,392.59,392.68
3/23/21 11:50,392.70,392.76,392.45,392.49
3/23/21 11:55,392.49,392.85,392.37,392.83
3/23/21 12:00,392.87,393.35,392.79,393.02
3/23/21 12:05,393.01,393.06,392.06,392.58
3/23/21 12:10,392.59,392.64,392.28,392.41
3/23/21 12:15,392.43,392.62,392.22,392.48
3/23/21 12:20,392.48,392.86,392.33,392.81
3/23/21 12:25,392.82,392.89,392.41,392.58
3/23/21 12:30,392.59,392.66,392.20,392.22
3/23/21 12:35,392.22,392.84,392.20,392.79
3/23/21 12:40,392.78,392.80,392.31,392.65
3/23/21 12:45,392.63,392.71,392.47,392.47
3/23/21 12:50,392.47,392.84,392.40,392.73
3/23/21 12:55,392.73,392.97,392.67,392.97
3/23/21 13:00,392.95,393.09,392.91,392.99
3/23/21 13:05,393.00,393.13,392.89,393.03
3/23/21 13:10,393.04,393.27,392.98,393.22
3/23/21 13:15,393.22,393.31,393.06,393.24
3/23/21 13:20,393.24,393.25,392.92,393.07
3/23/21 13:25,393.07,393.11,392.82,392.98
3/23/21 13:30,392.99,393.03,392.60,392.62
3/23/21 13:35,392.63,392.77,392.36,392.38
3/23/21 13:40,392.38,392.39,391.95,391.97
3/23/21 13:45,391.97,392.09,391.74,392.07
3/23/21 13:50,392.07,392.08,391.82,392.04
3/23/21 13:55,392.04,392.13,391.63,391.85
3/23/21 14:00,391.86,391.90,391.63,391.80
3/23/21 14:05,391.80,392.01,391.47,392.00
3/23/21 14:10,392.01,392.14,391.90,391.99
3/23/21 14:15,391.99,392.13,391.68,391.95
3/23/21 14:20,391.95,392.17,391.94,392.10
3/23/21 14:25,392.09,392.19,391.69,392.09
3/23/21 14:30,392.09,392.25,391.82,392.04
3/23/21 14:35,392.02,392.09,391.65,391.81
3/23/21 14:40,391.82,391.91,391.24,391.48
3/23/21 14:45,391.46,391.66,391.27,391.62
3/23/21 14:50,391.62,391.62,391.12,391.12
3/23/21 14:55,391.13,391.17,390.46,390.49
3/23/21 15:00,390.49,390.82,390.10,390.81
3/23/21 15:05,390.82,390.95,390.43,390.49
3/23/21 15:10,390.49,390.58,389.93,389.94
3/23/21 15:15,389.94,390.12,389.64,389.91
3/23/21 15:20,389.90,389.91,389.22,389.25
3/23/21 15:25,389.24,389.71,389.02,389.39
3/23/21 15:30,389.39,389.58,389.00,389.05
3/23/21 15:35,389.05,389.29,388.74,388.98
3/23/21 15:40,389.00,389.44,388.80,389.23
3/23/21 15:45,389.22,389.78,389.12,389.35
3/23/21 15:50,389.35,389.60,388.66,389.59
3/23/21 15:55,389.58,389.78,389.07,389.63
3/24/21 9:30,391.00,391.40,390.92,391.19
3/24/21 9:35,391.18,391.52,391.14,391.51
